,,,,,,,
"COUNTY
_CODE","
COUNTY_NAME",CONST_ CODE,"
CONSTITUENCY_NAME",CAW_ CODE,"
CAW_NAME","
VOTERS",NO. OF POLLING STATIONS
12,MERU,56,NORTH IMENTI,277,NTIMA EAST,12855,25
12,MERU,56,NORTH IMENTI,278,NTIMA WEST,18601,36
12,MERU,56,NORTH IMENTI,279,NYAKI WEST,19970,40
12,MERU,56,NORTH IMENTI,280,NYAKI EAST,16567,35
12,MERU,57,BUURI,281,TIMAU,20036,37
12,MERU,57,BUURI,282,KISIMA,16855,38
12,MERU,57,BUURI,283,KIIRUA/NAARI,14463,31
12,MERU,57,BUURI,284,RUIRI/RWARERA,10504,25
12,MERU,57,BUURI,289,KIBIRICHIA,13819,30
12,MERU,58,CENTRAL IMENTI,285,MWANGANTHIA,22013,44
12,MERU,58,CENTRAL IMENTI,286,ABOTHUGUCHI CENTRAL,23306,50
12,MERU,58,CENTRAL IMENTI,287,ABOTHUGUCHI WEST,10986,26
12,MERU,58,CENTRAL IMENTI,288,KIAGU,14175,29
12,MERU,59,SOUTH IMENTI,290,MITUNGUU,12820,25
12,MERU,59,SOUTH IMENTI,291,IGOJI EAST,17121,37
12,MERU,59,SOUTH IMENTI,292,IGOJI WEST,11958,25
12,MERU,59,SOUTH IMENTI,293,ABOGETA EAST,19264,38
12,MERU,59,SOUTH IMENTI,294,ABOGETA WEST,17618,35
12,MERU,59,SOUTH IMENTI,295,NKUENE,28633,56
13,THARAKA - NITHI,60,MAARA,296,MITHERU,10220,29
13,THARAKA - NITHI,60,MAARA,297,MUTHAMBI,11935,31
13,THARAKA - NITHI,60,MAARA,298,MWIMBI,14364,39
13,THARAKA - NITHI,60,MAARA,299,GANGA,11679,27
13,THARAKA - NITHI,60,MAARA,300,CHOGORIA,20531,56
13,THARAKA - NITHI,61,CHUKA/IGAMBANG'OMBE,301,MARIANI,9429,26
13,THARAKA - NITHI,61,CHUKA/IGAMBANG'OMBE,302,KARINGANI,16236,34
13,THARAKA - NITHI,61,CHUKA/IGAMBANG'OMBE,303,MAGUMONI,20951,60
13,THARAKA - NITHI,61,CHUKA/IGAMBANG'OMBE,304,MUGWE,14762,36
,,,,,,,
13,THARAKA - NITHI,61,CHUKA/IGAMBANG'OMBE,305,IGAMBANG'OMBE,15108,69
13,THARAKA - NITHI,62,THARAKA,306,GATUNGA,12618,40
13,THARAKA - NITHI,62,THARAKA,307,MUKOTHIMA,12021,35
13,THARAKA - NITHI,62,THARAKA,308,NKONDI,8816,27
13,THARAKA - NITHI,62,THARAKA,309,CHIAKARIGA,17392,64
13,THARAKA - NITHI,62,THARAKA,310,MARIMANTI,17092,52
14,EMBU,63,MANYATTA,311,RUGURU/NGANDORI,17404,43
14,EMBU,63,MANYATTA,312,KITHIMU,10826,26
14,EMBU,63,MANYATTA,313,NGINDA,17519,43
14,EMBU,63,MANYATTA,314,MBETI NORTH,16617,34
14,EMBU,63,MANYATTA,315,KIRIMARI,27605,56
14,EMBU,63,MANYATTA,316,GATURI SOUTH,9368,24
14,EMBU,64,RUNYENJES,317,GATURI NORTH,13944,34
14,EMBU,64,RUNYENJES,318,KAGAARI SOUTH,12097,27
14,EMBU,64,RUNYENJES,319,CENTRAL WARD,15193,28
14,EMBU,64,RUNYENJES,320,KAGAARI NORTH,15940,36
14,EMBU,64,RUNYENJES,321,KYENI NORTH,13579,26
14,EMBU,64,RUNYENJES,322,KYENI SOUTH,16224,34
14,EMBU,65,MBEERE SOUTH,323,MWEA,16826,38
14,EMBU,65,MBEERE SOUTH,324,MAKIMA,10623,29
14,EMBU,65,MBEERE SOUTH,325,MBETI SOUTH,17775,40
14,EMBU,65,MBEERE SOUTH,326,MAVURIA,19025,46
14,EMBU,65,MBEERE SOUTH,327,KIAMBERE,7894,24
14,EMBU,66,MBEERE NORTH,328,NTHAWA,17110,35
14,EMBU,66,MBEERE NORTH,329,MUMINJI,9077,25
14,EMBU,66,MBEERE NORTH,330,EVURORE,24822,62
15,KITUI,67,MWINGI NORTH,331,NGOMENI,8081,28
15,KITUI,67,MWINGI NORTH,332,KYUSO,18007,68
,,,,,,,
15,KITUI,67,MWINGI NORTH,333,MUMONI,14210,52
15,KITUI,67,MWINGI NORTH,334,TSEIKURU,15016,47
15,KITUI,67,MWINGI NORTH,335,THARAKA,6177,28
15,KITUI,68,MWINGI WEST,336,KYOME/THAANA,13713,44
15,KITUI,68,MWINGI WEST,337,NGUUTANI,13731,36
15,KITUI,68,MWINGI WEST,338,MIGWANI,13158,41
15,KITUI,68,MWINGI WEST,339,KIOMO/KYETHANI,11247,35
15,KITUI,69,MWINGI CENTRAL,340,CENTRAL,11685,24
15,KITUI,69,MWINGI CENTRAL,341,KIVOU,10947,30
15,KITUI,69,MWINGI CENTRAL,342,NGUNI,11314,38
15,KITUI,69,MWINGI CENTRAL,343,NUU,11269,42
15,KITUI,69,MWINGI CENTRAL,344,MUI,9222,31
15,KITUI,69,MWINGI CENTRAL,345,WAITA,8868,29
15,KITUI,70,KITUI WEST,346,MUTONGUNI,16145,50
15,KITUI,70,KITUI WEST,347,KAUWI,13712,38
15,KITUI,70,KITUI WEST,348,MATINYANI,12868,30
15,KITUI,70,KITUI WEST,349,KWA MUTONGA/KITHUMULA,9317,25
15,KITUI,71,KITUI RURAL,350,KISASI,12284,31
15,KITUI,71,KITUI RURAL,351,MBITINI,10624,28
15,KITUI,71,KITUI RURAL,352,KWAVONZA/YATTA,16620,54
15,KITUI,71,KITUI RURAL,353,KANYANGI,10086,34
15,KITUI,72,KITUI CENTRAL,354,MIAMBANI,10471,34
15,KITUI,72,KITUI CENTRAL,355,TOWNSHIP,17431,38
15,KITUI,72,KITUI CENTRAL,356,KYANGWITHYA WEST,14562,35
15,KITUI,72,KITUI CENTRAL,357,MULANGO,14031,41
15,KITUI,72,KITUI CENTRAL,358,KYANGWITHYA EAST,14241,35
15,KITUI,73,KITUI EAST,359,ZOMBE/MWITIKA,11149,34
15,KITUI,73,KITUI EAST,360,NZAMBANI,10662,26
,,,,,,,
15,KITUI,73,KITUI EAST,361,CHULUNI,10967,30
15,KITUI,73,KITUI EAST,362,VOO/KYAMATU,8901,32
15,KITUI,73,KITUI EAST,363,ENDAU/MALALANI,6917,24
15,KITUI,73,KITUI EAST,364,MUTITO/KALIKU,8694,28
15,KITUI,74,KITUI SOUTH,365,IKANGA/KYATUNE,14385,50
15,KITUI,74,KITUI SOUTH,366,MUTOMO,11130,37
15,KITUI,74,KITUI SOUTH,367,MUTHA,9744,40
15,KITUI,74,KITUI SOUTH,368,IKUTHA,10800,29
15,KITUI,74,KITUI SOUTH,369,KANZIKO,7699,29
15,KITUI,74,KITUI SOUTH,370,ATHI,14427,49
16,MACHAKOS,75,MASINGA,371,KIVAA,16689,53
16,MACHAKOS,75,MASINGA,372,MASINGA CENTRAL,16591,45
16,MACHAKOS,75,MASINGA,373,EKALAKALA,10093,26
16,MACHAKOS,75,MASINGA,374,MUTHESYA,7958,20
16,MACHAKOS,75,MASINGA,375,NDITHINI,10658,26
16,MACHAKOS,76,YATTA,376,NDALANI,14408,34
16,MACHAKOS,76,YATTA,377,MATUU,15260,31
16,MACHAKOS,76,YATTA,378,KITHIMANI,17499,34
16,MACHAKOS,76,YATTA,379,IKOMBE,16372,43
16,MACHAKOS,76,YATTA,380,KATANGI,10401,27
16,MACHAKOS,77,KANGUNDO,381,KANGUNDO NORTH,13025,31
16,MACHAKOS,77,KANGUNDO,382,KANGUNDO CENTRAL,14603,31
16,MACHAKOS,77,KANGUNDO,383,KANGUNDO EAST,11422,28
16,MACHAKOS,77,KANGUNDO,384,KANGUNDO WEST,14425,30
16,MACHAKOS,78,MATUNGULU,385,TALA,15766,29
16,MACHAKOS,78,MATUNGULU,386,MATUNGULU NORTH,11472,25
16,MACHAKOS,78,MATUNGULU,387,MATUNGULU EAST,11439,27
16,MACHAKOS,78,MATUNGULU,388,MATUNGULU WEST,20118,47
,,,,,,,
16,MACHAKOS,78,MATUNGULU,389,KYELENI,7816,17
16,MACHAKOS,79,KATHIANI,390,MITABONI,15300,30
16,MACHAKOS,79,KATHIANI,391,KATHIANI CENTRAL,13812,28
